sample_id,dataset_part,source,url,published_at,published_year,published_month,title,text_fragment,entity_mention,entity_norm,risk_type_candidate,found_risk_keywords,risk_type,entity_relevance,alert_flag,alert_reason,label_quality,risk_score_v1,split,review_status,review_comment
sample_000243,natural_sample,buriy,http://www.novayagazeta.ru/news/1686906.html,1410534240,2014,9,"США внесли Сбербанк, ВТБ, Лукойл и Роснефть в санкционный список","США внесли Сбербанк, ВТБ, Лукойл и Роснефть в санкционный список Ограничения введены в отношении «Транснефти», «Газпрома», «Газпромнефти», «Лукойла», «Сургутнефтегаза», «Роснефти» и «Новатэка». В списке финансовых учреждений значатся «Сбербанк», «Банк Москвы», «Внешэкономбанк», ВТБ, «Газпромбанк» и «Россельхозбанк». Также санкции введены в отношении «Ростеха», чей глава Сергей Чемезов уже находится в «черном списке» США и ЕС.",Газпромбанк,Газпромбанк,sanctions,ограничения; санкции,sanctions,direct,1,"В публикации описаны санкции или ограничения, связанные с Газпромбанк.",ok,95,train,manual_checked,
sample_000149,natural_sample,taiga_fontanka,http://www.fontanka.ru/2017/05/10/076/,1494428520,2017,5,Можно ли оценить безопасность новостроек перед покупкой?,"Можно ли оценить безопасность новостроек перед покупкой? Банки серьезно проверяют строительную компанию, прежде чем выдать ей кредит или аккредитовать объект. Например, один из крупнейших девелоперов Петербурга, Холдинг RBI (входят компании RBI и «Северный город»), работает по ипотеке с двенадцатью ведущими отечественными банками, среди которых «Санкт-Петербург», «Газпромбанк», ВТБ24, «Райфаззенбанком» и другие. Практически на все строящиеся объекты компании открыты кредитные линии «Сбербанка России».",Газпромбанк,Газпромбанк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000320,natural_sample,lenta,https://lenta.ru/news/2015/09/08/su155/,1441670400,2015,9,СМИ сообщили о начале продаж имущества СУ-155,СМИ сообщили о начале продаж имущества СУ-155 В апреле Сбербанк подал иск о банкротстве СУ-155. С аналогичными заявлениями обратились в суд Росбанк и кредитное учреждение «Российский капитал». В общей сложности в настоящее время рассматриваются более двух десятков исков о банкротстве застройщика.,Росбанк,Росбанк,legal_regulatory,иск; суд,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000693,risk_enriched_sample,buriy,http://www.novayagazeta.ru/news/1686906.html,1410534240,2014,9,"США внесли Сбербанк, ВТБ, Лукойл и Роснефть в санкционный список","США внесли Сбербанк, ВТБ, Лукойл и Роснефть в санкционный список США ввели санкции санкции в отношении шести российских банков и семи энергетических предприятий. Официальный документ опубликован на сайте министерства финансов США.",Сбербанк,Сбербанк,sanctions,санкции,sanctions,direct,1,"В публикации описаны санкции или ограничения, связанные с Сбербанк.",ok,95,train,manual_checked,
sample_000111,natural_sample,taiga_fontanka,http://www.fontanka.ru/2017/06/21/125/,1498085340,2017,6,Дело лидера «Шалтая-Болтая» передано в суд,"Дело лидера «Шалтая-Болтая» передано в суд Справка: «Шалтай-Болтай», представлявшийся также «Анонимным Интернационалом», объявился в Сети в самом конце 2013 года. Начиная с 2014 года в Интернете оказались доступны массивы электронной переписки, приписываемые вице-премьеру Дворковичу, топ-менеджменту ВТБ, членам кооператива «Сосны», функционерам «Молодой гвардии «Единой России», Игорю Стрелкову (Гиркину), руководству «Агентства интернет-исследований» в Ольгино, Владиславу Суркову, пресс-секретарю премьера Наталье Тимаковой и самому Дмитрию Медведеву, бизнесмену Пригожину, главе «Ньюс-Медиа» Ашоту Габрелянову и другим интересным персонажам.",ВТБ,ВТБ,legal_regulatory,суд,no_risk,mentioned_only,0,,ambiguous,0,train,manual_checked,риск относится не к банку
sample_000694,risk_enriched_sample,buriy,http://www.topnews.ru/news_id_83493.html,1446096339,2015,10,«Аэрофлот» подал второй иск к «Трансаэро» еще на 3 млрд рублей,"«Аэрофлот» подал второй иск к «Трансаэро» еще на 3 млрд рублей Глава Минтранса Максим Соколов заявил, что сертификат аннулирован ""раз и навсегда"". В середине октября Альфа-банк и Сбербанк подали иски о банкротстве ""Трансаэро"". 27 октября стало известно, что Газпромбанк также намерен обратиться в суд с заявлением о банкротстве авиакомпании.",Альфа-банк,Альфа-Банк,legal_regulatory,иск; суд,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000389,natural_sample,lenta,https://lenta.ru/news/2017/01/25/pavlovskgranit/,1485302400,2017,1,Промсвязьбанк прокомментировал поданный против него в США иск,"Промсвязьбанк прокомментировал поданный против него в США иск Претензии бывших владельцев «Павловскгранита» к Промсвязьбанку необоснованны и надуманны. Об этом в среду, 25 января, сообщили «Ленте. ру» в пресс-службе кредитной организации.",Промсвязьбанк,Промсвязьбанк,legal_regulatory,иск,legal_regulatory,direct,1,В публикации найден юридический или регуляторный риск для Промсвязьбанк.,ok,90,train,manual_checked,
sample_000234,natural_sample,lenta,https://lenta.ru/news/2019/07/04/credit/,1562198400,2019,7,Новые технологии помогут бороться с банковскими мошенниками,"Новые технологии помогут бороться с банковскими мошенниками Об этом пишет газета «Известия». Планы использовать биометрию для борьбы с преступлениями уже есть у Сбербанка, Райффайзенбанка, Росбанка, Почта Банка, банков «Тинькофф», «Хоум Кредит», «Ренессанс Кредит», а также Россельхозбанка. В кредитных учреждениях сообщили, что собственные системы распознавания внешности ими уже применяются, но их охват ограничивается только внутренними данными.",Тинькофф,Т-Банк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000557,risk_enriched_sample,ods_tass,https://tass.ru/ekonomika/3341725,1465226212,2016,6,"Арбитражный суд запретил отчуждать имущество сахалинского рыбокомбината ""Островной""","Арбитражный суд запретил отчуждать имущество сахалинского рыбокомбината ""Островной"" /Корр. ТАСС Ирина Байбарза/. Арбитражный суд Сахалинской области запретил отчуждать имущество рыбокомбината ""Островной"", получившего широкую известность после ""Прямой линии"" с президентом РФ в апреле. n""Рассмотрев заявление публичного акционерного общества (ПАО) ""Сбербанк России"" суд определил запретить Управлению Федеральной службы государственной регистрации, кадастра и картографии по Сахалинской области совершать регистрационные и иные действия, направленные на отчуждение имущества"", - говорится в определении суда, размещенном на его сайте. nВ сообщении также отмечается, что 23 июня суд рассмотрит заявление ПАО ""Сбербанк России"" о включении в реестр требований кредиторов долга компании перед банком в размере 300,5 млн рублей.",Сбербанк,Сбербанк,legal_regulatory,суд,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000826,targeted_risk_from_runews,ods_tass,https://tass.ru/obschestvo/5096612,1522898788,2018,4,Эксперты: введение курортного сбора требует адаптации налоговой системы и законодательства,"Эксперты: введение курортного сбора требует адаптации налоговой системы и законодательства В этом случае банки могут взимать комиссию в размере, установленном договором. nКузнецов предложил провести переговоры с такими государственными банками, как Сбербанк, ВТБ и Россельхозбанк, по поводу беспроцентного перевода средств, поступающих от курортного сбора. Он также поручил проработать возможность внести изменения в закон о курортном сборе для того, ""чтобы предусмотреть, что такая плата, перечисляемая от оператора в бюджет, не облагается [комиссией]"".",Россельхозбанк,Россельхозбанк,data_leak_security,персональные данные,no_risk,mentioned_only,0,Россельхозбанк упомянут как возможный банк для перевода курортного сбора; риска для банка нет.,ok,0,train,manual_checked,ложное срабатывание по словам про данные/законодательство
sample_000290,natural_sample,telegram_contest,https://www.klerk.ru/buh/news/492079/,1573053420,2019,11,ЦБ оштрафовал Сбербанк,"ЦБ оштрафовал Сбербанк Центробанк назначил Сбербанку штраф за неподключение к системе быстрых платежей. Об этом сообщила глава ЦБ Эльвира Набиуллина, выступая в Совете Федерации.",Сбербанк,Сбербанк,legal_regulatory,штраф,legal_regulatory,direct,1,В публикации найден юридический или регуляторный риск для Сбербанк.,ok,90,train,manual_checked,
sample_000247,natural_sample,ods_tass,https://tass.ru/ekonomika/4969785,1518977107,2018,2,Суд отказался ввести обеспечительные меры в виде приостановки санации Промсвязьбанка,"Суд отказался ввести обеспечительные меры в виде приостановки санации Промсвязьбанка Арбитражный суд Москвы отклонил заявление бывшего председателя правления Промсвязьбанка Дмитрия Ананьева, в котором он в просил в качестве обеспечительной меры приостановить действие ряда актов Центрального Банка по санации кредитной организации. Об этом говорится в тексте определения суда. n""Рассмотрев заявление ПАО ""Промсвязьбанк о принятии обеспечительных мер и приложенные к нему документы, суд не находит оснований для его удовлетворения"", - говорится определении суда. nКак отмечается в документе, Ананьев не обосновал необходимость принятия обеспечительных мер, а также ""не представил надлежащих доказательств того, что непринятие испрашиваемых мер может затруднить или сделать невозможным исполнение судебного акта"".",Промсвязьбанк,Промсвязьбанк,legal_regulatory,суд,legal_regulatory,direct,1,В публикации найден юридический или регуляторный риск для Промсвязьбанк.,ok,90,train,manual_checked,
sample_000487,natural_sample,taiga_fontanka,http://www.fontanka.ru/2014/09/24/083/,1411563600,2014,9,Япония ввела санкции против российских госбанков,"Япония ввела санкции против российских госбанков Япония ввела санкции против российских госбанков — Сбербанка, ВТБ, Внешэкономбанка, Газпромбанка и Россельхозбанка, передает РИА Новости со ссылкой на МИД Японии. Санкции были введены для ужесточения позиции в отношении Москвы, а также для соответствия действиям, предпринятым ранее США.",ВТБ,ВТБ,sanctions,санкции,sanctions,direct,1,"В публикации описаны санкции или ограничения, связанные с ВТБ.",ok,95,train,manual_checked,
sample_000287,natural_sample,lenta,https://lenta.ru/news/2017/03/22/natsbank_sankcii/,1490140800,2017,3,Нацбанк Украины ввел санкции против «дочек» российских банков,"Нацбанк Украины ввел санкции против «дочек» российских банков 19 марта замглавы НБУ Екатерина Рожкова заявила, что все банки с российским государственным капиталом на Украине ведут переговоры о возможной продаже бизнеса. 16 марта президент Украины утвердил санкции против пяти украинских банков с российским капиталом — это Сбербанк, Виесте Банк, Акционерный коммерческий промышленно-инвестиционный банк, ВТБ, БМ Банк. 7 марта Сбербанк России сообщил о начале обслуживания клиентов по паспортам самопровозглашенных Донецкой и Луганской народных республик.",Сбербанк,Сбербанк,sanctions,санкции,sanctions,direct,1,"В публикации описаны санкции или ограничения, связанные с Сбербанк.",ok,95,train,manual_checked,
sample_000170,natural_sample,lenta,https://lenta.ru/news/2017/03/10/sanctionsukr/,1489104000,2017,3,НБУ предложит СНБО ввести санкции против российских банков,"НБУ предложит СНБО ввести санкции против российских банков Об этом сообщает УНИАН со ссылкой на пресс-службу НБУ. Таким образом планируется не допустить возврата «дочками» Сбербанка, ВТБ и других российских банков кредитов их головным структурам. Соответствующее решение будет принято в случае подтверждения информации об обслуживании банками клиентов с документами ДНР и ЛНР.",ВТБ,ВТБ,sanctions,санкции,sanctions,direct,1,"В публикации описаны санкции или ограничения, связанные с ВТБ.",ok,95,train,manual_checked,
sample_000104,natural_sample,telegram_contest,https://www.bfm.ru/news/429671,1573895160,2019,11,Росбанк восстановил работу всех сервисов,Росбанк восстановил работу всех сервисов Клиенты финансовой организации по всей России с пятницы испытывали сложности при проведении операций по картам. В банке объяснили сбой плановыми техническими работами Обновлено в 12:06 Росбанк сообщил о восстановлении работы всех сервисов.,Росбанк,Росбанк,operational_issue,сбой,operational_issue,direct,1,В публикации описан операционный риск для Росбанк.,ok,85,train,manual_checked,
sample_000144,natural_sample,ods_tass,https://tass.ru/ekonomika/5821073,1542899979,2018,11,"""Ъ"": ВЭБ предложил РЖД совместно развивать городской транспорт","""Ъ"": ВЭБ предложил РЖД совместно развивать городской транспорт Но Игорь Шувалов уточнил, что госкорпорация планирует входить в проекты ""в синдикате с банками-партнерами в рамках фабрики проектного финансирования"", пишет газета. Среди основных партнеров он назвал Сбербанк, ВТБ, Газпромбанк. Для проектов развития городской экономики также планируется привлекать региональные банки. n""Если вся эта модель сработает, то мы к 2024 году должны выходить с портфелем не меньше 3 трлн руб.",Газпромбанк,Газпромбанк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000012,natural_sample,lenta,https://lenta.ru/news/2016/04/15/rian_isk_yukos/,1460678400,2016,4,Парижский суд разблокировал счета «России сегодня» по делу ЮКОСа,"Парижский суд разблокировал счета «России сегодня» по делу ЮКОСа В феврале 2016-го холдинговая компания GML, представляющая интересы бывших акционеров нефтяной компании, оценивала стоимость арестованных во Франции российских активов в миллиард долларов. Среди них назывались деньги МИА «Россия сегодня» и «Госзагрансобственности» на счетах французской дочки ВТБ, а также задолженность компании Eutelsat перед «Космической связью». В июле 2014 года Третейский суд в Гааге признал, что Россия нарушала Энергетическую хартию и фактически конфисковала активы ЮКОСа.",ВТБ,ВТБ,legal_regulatory,суд,no_risk,mentioned_only,0,,ambiguous,0,train,manual_checked,риск относится не к банку
sample_000449,natural_sample,telegram_contest,https://asninfo.ru/news/88897-v-sleduyushchem-godu-vtb-perevedet-oformleniye-eskrou-schetov-na-bezbumazhnuyu-osnovu,1573659600,2019,11,В следующем году ВТБ переведет оформление эскроу-счетов на безбумажную основу,"В следующем году ВТБ переведет оформление эскроу-счетов на безбумажную основу ВТБ увеличил число офисов с обслуживанием на основе безбумажной технологии до 153 точек продаж. Тиражирование сервиса на всю сеть планируется в первом квартале 2020 г. Новая технология позволяет клиентам ВТБ подписывать необходимые документы в онлайн-режиме, без бумажных носителей.",ВТБ,ВТБ,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000833,targeted_risk_from_runews,lenta,https://lenta.ru/news/2019/10/24/oproverg/,1571875200,2019,10,Сбербанк опроверг информацию о продаже данных клиентов,"Сбербанк опроверг информацию о продаже данных клиентов Информация о продаже в интернете базы данных клиентов Сбербанка, появившаяся ранее в ряде СМИ, является домыслом. Об этом ТАСС сообщили в пресс-службе банка.",Сбербанк,Сбербанк,data_leak_security,данные клиентов,data_leak_security,direct,1,"Сбербанк опровергает информацию о продаже базы данных клиентов, что является риск-инфоповодом по данным клиентов.",ok,100,train,manual_checked,
sample_000674,risk_enriched_sample,lenta,https://lenta.ru/news/2019/10/03/sber/,1570060800,2019,10,Сбербанк сообщил об утечке данных клиентов,Сбербанк сообщил об утечке данных клиентов Сбербанк проводит расследование в связи с утечкой в сеть персональных данных клиентов. Об этом сообщается в пресс-релизе банка на сайте.,Сбербанк,Сбербанк,legal_regulatory,расследование,data_leak_security,direct,1,В публикации описан риск информационной безопасности для Сбербанк.,ok,100,train,manual_checked,
sample_000009,natural_sample,ods_tass,https://tass.ru/ekonomika/6496053,1559348144,2019,6,"Банк ""ФК Открытие"" может выплатить ЦБ за 2018 год 2 млрд рублей дивидендов","Банк ""ФК Открытие"" может выплатить ЦБ за 2018 год 2 млрд рублей дивидендов МОСКВА, 31 мая. /ТАСС/.",ФК Открытие,Банк Открытие,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000790,risk_enriched_sample,lenta,https://lenta.ru/news/2010/09/08/vas/,1283904000,2010,9,"Спором Навального и ""Роснефти"" займется Высший арбитражный суд","Спором Навального и ""Роснефти"" займется Высший арбитражный суд Суд пояснил, что миноритарий не подписал заявление. Навальный уже несколько лет борется за права миноритариев нескольких госкомпаний, в том числе ВТБ, ""Роснефти"" и ""Транснефти"". В конце 2009 года Навальный вместе с журналом Forbes Russia организовали ""Центр защиты акционеров"", который начал отслеживать возможные нарушения прав миноритариев.",ВТБ,ВТБ,legal_regulatory,суд,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000387,natural_sample,lenta,https://lenta.ru/news/2012/10/30/mmtp/,1351555200,2012,10,Альфа-банк и СУЭК предложили 2 миллиарда рублей за Мурманский порт,Альфа-банк и СУЭК предложили 2 миллиарда рублей за Мурманский порт Сибирская угольная энергетическая компания (СУЭК) и контролируемая Альфа-банком кипрская Alfa Capital Holdings предложили максимальную цену за Мурманский морской торговый порт (ММТП). Об этом сообщает РИА Новости со ссылкой на организатора торгов Raiffeisen Investment.,Альфа-банк,Альфа-Банк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000680,risk_enriched_sample,buriy,http://topwar.ru/64127-evrosoyuz-tiho-peresmotrel-chast-antirossiyskih-sankciy.html,1417799255,2014,12,Евросоюз тихо пересмотрел часть антироссийских санкций,"Евросоюз тихо пересмотрел часть антироссийских санкций Первоначально санкции предусматривали ограничение срока кредитов для банков России на срок до одного месяца. Об этом сообщает Интерфакс Теперь Сбербанк, Газпромбанк, ВТБ, РСХБ и Внешэкономбанк смогут получать долгосрочные кредиты, но при этом в поправке есть одна ключевая деталь. Заключается она в том, что российским банкам будут давать деньги в долг в том случае, если они соберутся эти деньги использовать для поддержания своих «дочек», находящихся на территории Евросоюза и имеющих более чем 50%-ную российскую капитализацию.",Сбербанк,Сбербанк,sanctions,санкции,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000811,targeted_risk_from_runews,buriy,http://www.interfax.ru/russia/476601,1446228780,2015,10,"Трансаэро: кредиторы, долги, два гендиректора","Трансаэро: кредиторы, долги, два гендиректора Впрочем, не все банки верят в счастливый конец истории с ""Трансаэро"". Подавшие на прошлой неделе иски о банкротстве авиаперевозчика Сбербанк и Альфа-банк не планируют отзывать свои заявления. Как ранее говорили ""Интерфаксу"" в Сбербанке, банк не получал предложений по реструктуризации долга ""Трансаэро"" и намерен продолжить процесс банкротства авиакомпании.",Сбербанк,Сбербанк,operational_issue,не работает,no_risk,mentioned_only,0,Сбербанк упомянут как кредитор в банкротстве Трансаэро; риск относится к заемщику.,ok,0,train,manual_checked,риск относится не к банку
sample_000020,natural_sample,ods_tass,https://tass.ru/ekonomika/4128417,1490638061,2017,3,"Два отделения Сбербанка на Украине возобновили работу, три остаются заблокированы","Два отделения Сбербанка на Украине возобновили работу, три остаются заблокированы Радикалы блокируют вход в финучреждения, строят у дверей баррикады, обливают краской окна и двери, призывая украинцев забирать из банков деньги. nПод давлением националистов президент Петр Порошенко 16 марта ввел в действие санкции в отношении пяти банков с российским капиталом (Сбербанк, Проминвестбанк, ВТБ, БМ Банк и VS Bank) сроком на год. Санкции предполагают, в частности, запрет на вывод средств за пределы Украины, а также на выплату дивидендов, процентов, возвращения межбанковских депозитов и кредитов, средств с корреспондентских счетов субординированного долга.",Сбербанк,Сбербанк,sanctions,санкции,sanctions,direct,1,"В публикации описаны санкции или ограничения, связанные с Сбербанк.",ok,95,train,manual_checked,
sample_000293,natural_sample,telegram_contest,https://ru.reuters.com/article/businessNews/idRUKBN1XN17P-ORUBS,1573648449,2019,11,Ростелеком одобрил сделку по приобретению 55% Tele2 Россия,"Ростелеком одобрил сделку по приобретению 55% Tele2 Россия В результате сделки Ростелеком станет владельцем 100% Tele2, чья клиентская база составляет 44 миллиона абонентов. Сейчас Ростелекому принадлежит 45% Т2 РТК Холдинга, управляющего Tele2, остальные 55% у Tele2 Russia Holding AB (50% в нем принадлежат ВТБ, 40% - Invintel B.V. Алексея Мордашова, 10% — банку Россия Юрия Ковальчука и его партнеров). По словам президента Ростелекома Михаила Осеевского, сделка позволит “получить дополнительный доход от скоординированных перекрестных продаж и повысить рентабельность бизнеса в целом”.",ВТБ,ВТБ,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
