sample_id,text_fragment,title,entity_norm,alert_flag,teacher_model,teacher_label,teacher_confidence,teacher_reason
ml_000016,"Российские банки запустят идентификацию клиентов по селфи Российские банки собираются внедрить идентификацию клиентов по селфи. Об этом во вторник, 25 июля, сообщают «Известия» со ссылкой на представителей Сбербанка, ВТБ 24, СМП-банка и Росбанка. Бинбанк, Ситибанк и «Ак Барс» также рассматривают возможность запуска подобной системы.",Российские банки запустят идентификацию клиентов по селфи,ВТБ,0,gpt-4.1,0,0.95,ok
ml_000017,"Коллектора взяли за e-mail Внешнее наблюдение было введено в ноябре того же года, внешнее управление – в феврале 2012 года. С этого времени ряд банков, среди которых «ВЭБ», «ВТБ» и «Сбербанк», пытаются получить возмещение по ранее выданным кредитам. На пути у них, по словам Бегуна, стоит «Центральное коллекторское агентство», возглавляемое Носовичем.",Коллектора взяли за e-mail,ВТБ,0,gpt-4.1,0,0.85,ok
ml_000019,"Банк «Российский капитал» начал распродавать квартиры СУ-155 Компания-застройщик СУ-155 допустила технический дефолт по оферте на облигации в марте 2015 года. ВТБ, «Российский капитал», Росбанк, Сбербанк, «Глобэкс», «ГВСУ центр» и другие кредиторы подали иски о банкротстве. Суммарные долги СУ-155 оцениваются в 39 миллиардов рублей, 17 из них компания должна банкам, оставшаяся сумма — долговые обязательства перед подрядчиками и за аренду земли, а также средства, необходимые для завершения строительства жилья.",Банк «Российский капитал» начал распродавать квартиры СУ-155,Росбанк,0,gpt-4.1,1,0.8,ok
ml_000020,"Дорогое удовольствие: как Давос переживет колебания рубля и франка У ВЭФа 120 «стратегических партнеров», которые, таким образом, платят ему 60 млн франков (более $68 млн) ежегодно. В их числе и российские компании: Сбербанк, ВТБ, VimpelCom, ЛУКОЙЛ, USM Holdings Алишера Усманова, «Базовый элемент». Еще около 500 компаний указаны на сайте ВЭФа в качестве «отраслевых партнеров», их взносы поменьше – 250 тыс. франков ($285 тыс.), но меньше и привилегий.",Дорогое удовольствие: как Давос переживет колебания рубля и франка,ВТБ,0,gpt-4.1,0,0.99,ok
ml_000021,"Полиция поймала обманывавших банкоматы фальшивомонетчиков В Сбербанке пояснили, что заменяют программное обеспечение, нужное для защиты от фальшивых банкнот номиналом в пять тысяч рублей. Сообщалось также, что временно отключен прием таких купюр в банкоматах «ВТБ 24» и «Ситибанка». В начале текущего года в ЦБ заявляли, что в конце 2012 года пятитысячные банкноты стали самыми подделываемыми в России.",Полиция поймала обманывавших банкоматы фальшивомонетчиков,ВТБ,1,gpt-4.1,1,0.85,ok
ml_000022,"В Днепре радикалы заблокировали отделение ""дочки"" Сбербанка Радикалы блокировали входы в финучреждения цепями, замуровывали двери строительными блоками, обливали краской витрины, призывая граждан забирать из банков деньги. Под давлением националистов президент Петр Порошенко 16 марта ввел в действие санкции в отношении пяти банков с российским капиталом (Сбербанк, Проминвестбанк, ВТБ, БМ Банк и VS Bank) сроком на год. После этого радикалы приостановили акцию, чтобы, как они заявили, дать время украинцам забрать свои средства.","В Днепре радикалы заблокировали отделение ""дочки"" Сбербанка",ВТБ,0,gpt-4.1,1,0.95,ok
ml_000023,"Почему БК «Зенит» проиграл борьбу за Еврокубок Речь, конечно же, идет опять о «Химках». Так уж получилось, что «Зениту» сначала пришлось встретиться с ними в первом матче 1/8 финала Еврокубка в Петербурге, затем отправиться в Подмосковье, там сыграть с ними уже в Единой лиге ВТБ (а важность этого турнира тоже никто не отменял), и потом все там же и все с тем же соперником провести уже ответную игру Еврокубка. Три сверхважных матча фактически со вторым по силе клубом России после ЦСКА выбьют из колеи любого.",Почему БК «Зенит» проиграл борьбу за Еврокубок,ВТБ,0,gpt-4.1,0,0.99,ok
ml_000024,"Валютная переоценка съедает деньги Ru» стало известно о подобных пересчетах и в других банках, в частности в Райффайзенбанке. «При любой моей покупке Райффайзенбанк блокирует сумму на карте почти на неделю и списывает ее уже по какому-то иному курсу. В Грузии я снимала по карте с рублевого счета в местном банкомате баксы.",Валютная переоценка съедает деньги,Райффайзенбанк,0,gpt-4.1,0,0.75,ok
ml_000025,"Под новые санкции Японии попали Сбербанк, ВТБ и Газпромбанк Правительство Японии ввело ограничения на операции с ценными бумагами Сбербанка, Внешэкономбанка, ВТБ, Газпромбанка и Россельхозбанка. Список финансовых учреждений, которые попали под новые санкции в отношении России в связи с ситуацией в Украине, распространил МИД Японии, передает Прайм.","Под новые санкции Японии попали Сбербанк, ВТБ и Газпромбанк",Сбербанк,1,gpt-4.1,1,1.0,ok
ml_000026,"Альфа-банк подал иск о признании «Трансаэро» банкротом Дату подачи иска в Альфа-банке не уточняют. Сегодня стало известно, что в минувшую пятницу Сбербанк подал иск в арбитражный суд Санкт-Петербурга и Ленинградской области о признании банкротом авиакомпании «Трансаэро», ранее писала «Русская Планета».",Альфа-банк подал иск о признании «Трансаэро» банкротом,Сбербанк,0,gpt-4.1,0,0.95,ok
ml_000030,"В Днепре радикалы заблокировали отделение ""дочки"" Сбербанка Радикалы блокировали входы в финучреждения цепями, замуровывали двери строительными блоками, обливали краской витрины, призывая граждан забирать из банков деньги. Под давлением националистов президент Петр Порошенко 16 марта ввел в действие санкции в отношении пяти банков с российским капиталом (Сбербанк, Проминвестбанк, ВТБ, БМ Банк и VS Bank) сроком на год. После этого радикалы приостановили акцию, чтобы, как они заявили, дать время украинцам забрать свои средства.","В Днепре радикалы заблокировали отделение ""дочки"" Сбербанка",Сбербанк,1,gpt-4.1,1,0.98,ok
ml_000031,"Из ВТБ уволился второй топ-менеджер за неделю Заместитель председателя правления второго по величине российского банка ВТБ Юлия Чупина покинула свой пост ""в связи с обстоятельствами личного характера"". Об этом сообщает агентство ""Интерфакс"".",Из ВТБ уволился второй топ-менеджер за неделю,ВТБ,0,gpt-4.1,0,0.8,ok
ml_000034,"Ходорковский призвал Запад пересмотреть санкции против России Часть из них обвинили в эскалации кризиса на Украине, часть – подпали под санкции, потому что якобы составляют «ближний круг» президента России Владимира Путина. Под санкции подпали Сбербанк, ВТБ, Газпромбанк, Россельхозбанк, Банк Москвы, Российский национальный коммерческий банк, Объединенная судостроительная корпорация и лоукостер «Добролет». В ответ на санкции Путин ввел запрет на ввоз в Россию отдельных видов сельскохозяйственной продукции, сырья и продовольствия из присоединившихся к санкциям стран.",Ходорковский призвал Запад пересмотреть санкции против России,Газпромбанк,0,gpt-4.1,1,0.95,ok
ml_000036,"Клиенты Сбербанка столкнулись с проблемами при проведении онлайн-платежей «Банк столкнулся с технической проблемой, сейчас идет временный отказ от проведения операций по банковским картам, не проходят операции в личном кабинете «Сбербанк-онлайн», в банкоматах и терминалах, и осуществление платежей в интернете», — рассказал в пятницу РБК сотрудник call-центра Сбербанка. В 18:40 мск Сбербанк сообщил, что устранил сбой. Все системы Сбербанка в настоящий момент работают в штатном режиме, сообщалось в Twitter пресс-центра банка.",Клиенты Сбербанка столкнулись с проблемами при проведении онлайн-платежей,Сбербанк,1,gpt-4.1,1,0.95,ok
ml_000038,"Ночной сбой В конце марта некоторые банки предупреждали своих клиентов о возможных сбоях, связанных с переводом платежного трафика на НСПК. Так, Райффайзенбанк распространил сообщение, в котором попросил клиентов «отнестись с пониманием к глобальным для большинства российских банков изменениям и возможным неудобствам, вызванным техническими работами». О возможных сбоях своих клиентов предупредил и ЮниКредит Банк, он разместил на своем сайте сообщение, в котором говорилось, что «переход на новую платформу может вызвать временные трудности, связанные с обработкой операций по пластиковым картам».",Ночной сбой,Райффайзенбанк,1,gpt-4.1,1,0.95,ok
ml_000039,"Мнение: Кремль хватается за каждый клин, который он может вбить в хрупкую коалицию США и ЕС «Роснефть», кажется, подражает Ирану, наняв адвокатскую компанию, чтобы оспорить санкции ЕС в суде. В сентябре «Газпромбанк» нанял двух бывших американских сенаторов для ведения лоббистской деятельности против санкций от лица банка. Согласно заявлению о раскрытии информации, предъявленному в сенате, банк нанял Трента Лотта и Джона Бро, которые сейчас работают на крупную лоббистскую компанию Squire Patton Boggs в Вашингтоне.","Мнение: Кремль хватается за каждый клин, который он может вбить в хрупкую коалицию США и ЕС",Газпромбанк,0,gpt-4.1,1,0.95,ok
ml_000040,"Банкоматы Альфа-Банка установлены на станциях Санкт-Петербургского метрополитена Уверен, что жители и гости Санкт-Петербурга по достоинству оценят удобство работы с Альфа-Банком без дополнительных временных затрат на дорогу к отделению банка или к ближайшему банкомату», — говорит начальник управления по развитию систем самообслуживания Альфа-Банка Максим Дарёшин. На сегодняшний день у Альфа-Банка общая объединенная банкоматная сеть с действующими партнёрами, а это: Промсвязьбанк, МДМ Банк, Росбанк, УБРиР, Россельхозбанк, МОСКОВСКИЙ КРЕДИТНЫЙ БАНК, Газпромбанк и БИНБАНК насчитывает более 24,7 тысяч устройств, расположенных более чем в 2,8 тыс. населённых пунктов России. А с МДМ Банком, УБРиР, МОСКОВСКИМ КРЕДИТНЫМ БАНКОМ (только для физических лиц) и с БИНБАНКОМ Альфа-Банк сотрудничает ещё и на внесение наличных.",Банкоматы Альфа-Банка установлены на станциях Санкт-Петербургского метрополитена,Россельхозбанк,0,gpt-4.1,0,1.0,ok
ml_000041,"Альфа-банк подал иск о признании «Трансаэро» банкротом Вслед за Сбербанком, Альфа-банк так же подал иск о признании банкротом авиакомпанию ""Трансаэро"". Об этом сообщает ""Интерфакс"" со ссылкой на пресс-службу кредитной организации.",Альфа-банк подал иск о признании «Трансаэро» банкротом,Альфа-Банк,0,gpt-4.1,0,0.98,ok
ml_000043,"Со счетов россиян пытались похитить миллиарды рублей Крупнейшие банки России в первой половине 2019 года предотвратили хищения со счетов своих клиентов на общую сумму примерно 24 миллиарда рублей, пишут «Известия» со ссылкой на данные кредитных организаций. Издание опросило пять банков, входящих в число крупнейших в стране: Сбербанк, ВТБ, Альфа-банк, «Почта банк» и Московский кредитный банк. Представители кредитных организаций отмечают, что активность злоумышленников растет, даже несмотря на принятый в прошлом году закон о защите от мошенничества.",Со счетов россиян пытались похитить миллиарды рублей,Почта Банк,0,gpt-4.1,1,0.85,ok
ml_000044,"Сбербанк оценил убыток от первой зарубежной покупки Убыток Сбербанка от приобретения Volksbank International (VBI), ставшего первой зарубежной покупкой крупнейшей российской финорганизации, составил восемь миллиардов рублей. Об этом говорится в отчете банка по Международным стандартам финансовой отчетности (МСФО) за прошлый год.",Сбербанк оценил убыток от первой зарубежной покупки,Сбербанк,0,gpt-4.1,0,0.95,ok
ml_000046,"""Ъ"": ВЭБ предложил РЖД совместно развивать городской транспорт Но Игорь Шувалов уточнил, что госкорпорация планирует входить в проекты ""в синдикате с банками-партнерами в рамках фабрики проектного финансирования"", пишет газета. Среди основных партнеров он назвал Сбербанк, ВТБ, Газпромбанк. Для проектов развития городской экономики также планируется привлекать региональные банки. n""Если вся эта модель сработает, то мы к 2024 году должны выходить с портфелем не меньше 3 трлн руб.","""Ъ"": ВЭБ предложил РЖД совместно развивать городской транспорт",Газпромбанк,0,gpt-4.1,0,0.98,ok
ml_000047,"В Сбербанке произошел короткий сбой при обслуживании карт По данным финорганизации, неполадки продолжались с 9:55 до 10:27 по московскому времени. В этот период клиентам были недоступны операции по картам Сбербанка в банкоматах, торговых точках и системе ""Сбербанк онлайн"" по всей стране. Причины сбоя сейчас устанавливают специалисты Сбербанка.",В Сбербанке произошел короткий сбой при обслуживании карт,Сбербанк,1,gpt-4.1,1,0.97,ok
ml_000048,"Российский Сбербанк заявил, что продаст украинскую ""дочку"" только после снятия санкций Ранее Сбербанк уже пытались продать, но НБУ не согласовал ни один вариант сделки. Российский Сбербанк заявил, что возобновит переговоры о продаже украинской дочерней организации только после того, как Украина снимет с нее санкции.","Российский Сбербанк заявил, что продаст украинскую ""дочку"" только после снятия санкций",Сбербанк,1,gpt-4.1,1,0.94,ok
ml_000049,"Уязвимый пластик: как вернуть украденные деньги Оказалось, их у банкиров может быть масса. ""Как только клиент подает претензию, банк начинает эту претензию оспаривать, — поясняет начальник отдела управления пластиковых карт банка ВТБ Александр Бородкин. — Банк просчитывает свои потери в результате возврата денег на счет клиента с расчетом, что доказать мошенничество не удастся, иными словами банк решает, что дороже — деньги или лояльность клиента"".",Уязвимый пластик: как вернуть украденные деньги,ВТБ,0,gpt-4.1,0,0.85,ok
ml_000050,"Кассир Сбербанка, похитившая у 82-летнего мужчины 500 тыс., получила условный срок nБабичева признана виновной в совершении пяти преступлений, предусмотренных статьей 160 УК РФ ""Присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное лицом с использованием своего служебного положения, в крупном размере"". nЯвляясь кассиром Чановского отделения универсального дополнительного офиса Новосибирского отделения ОАО ""Сбербанк России"", Бабичева в течение 2012-2014 годов 5 раз присваивала денежные средства, принадлежащие 82-летнему пенсионеру, подделывая записи в его сберкнижке.","Кассир Сбербанка, похитившая у 82-летнего мужчины 500 тыс., получила условный срок",Сбербанк,1,gpt-4.1,1,0.85,ok
ml_000051,"Чижов: единства по санкциям против РФ внутри Евросоюза не было и нет Ограничения касаются транспортной, телекоммуникационной и энергетической отраслей, разведки нефти, газа и других полезных ископаемых. Минфин США 29 июля объявил о введении санкций против Банка Москвы, ВТБ и Россельхозбанка, а также Объединенной судостроительной корпорации РФ. В Вашингтоне и Брюсселе при этом готовы при необходимости расширить санкционные списки.",Чижов: единства по санкциям против РФ внутри Евросоюза не было и нет,ВТБ,0,gpt-4.1,1,0.98,ok
ml_000053,"Из-за технических работ карты Сбербанка могут работать с перебоями Помимо перерывов в обслуживании карт в терминалах, интернет-сервисах и пр., будет недоступен ряд функций дистанционного обслуживания. «В системах «Сбербанк Oнлайн» и «Сбербанк Бизнес Онлайн», платежи в системе ""Мобильный банк"" будут приниматься в очередь с исполнением после завершения технологических работ», — отмечают в пресс-службе. Последний раз Сбербанк приостанавливал обслуживание интернет-банка в ноябре 2014 года.",Из-за технических работ карты Сбербанка могут работать с перебоями,Сбербанк,1,gpt-4.1,1,0.85,ok
ml_000054,"Система денежных переводов ЦБ оказалась опасной для россиян Как отмечает издание, это может быть связано с деятельностью мошенников, которые проверяют наличие счета абонента в банке. На данный момент к системе подключены 12 банков: ВТБ, «Тинькофф», Промсвязьбанк, Росбанк, СКБ-банк, Газпромбанк, Альфа-банк, «Ак Барс», Райффайзенбанк, платежный сервис QIWI, Совкомбанк и РНКО «Платежный центр» — оператор платежной системы «Золотая корона». В ближайшее время к нему намерены также подключить «Открытие», «Юникредит», «Русский стандарт» и Газэнергобанк.",Система денежных переводов ЦБ оказалась опасной для россиян,Газпромбанк,0,gpt-4.1,1,0.85,ok
ml_000055,"Сбербанк заявил, что россияне не входят в топ-10 лучших хакеров мира ДАВОС, 23 января. /ТАСС/.","Сбербанк заявил, что россияне не входят в топ-10 лучших хакеров мира",Сбербанк,0,gpt-4.1,0,0.98,ok
ml_000057,"Сбербанк сообщил о ликвидации сбоя в сети банкоматов Сбербанк объяснил временные ограничения при совершении операций по своим банковским картам техническими причинами. «С 18:40 до 19:35 имел место незначительный сбой в одной из процессинговых систем Сбербанка, приводивший к отказам в авторизации по некоторым операциям в банкоматах и POS-терминалах», — сообщила пресс-служба Сбербанка.",Сбербанк сообщил о ликвидации сбоя в сети банкоматов,Сбербанк,1,gpt-4.1,1,0.98,ok
ml_000058,"В филиале банка «Открытие» на Ржевке взломали пол В апреле 2015 злоумышленник проделал в полу банка «Петровский» на бульваре Новаторов дыру и пролез по плечи, но, увидев сотрудников, пересчитывавших деньги, испугался и убежал. В июле 2012 года злодеи через дырку в полу проникли в банк «ВТБ 24» на Московском проспекте и похитили оттуда крупную сумму денег.",В филиале банка «Открытие» на Ржевке взломали пол,ВТБ,1,gpt-4.1,1,0.85,ok
ml_000059,Сим-карта на доверии Проверить и доказать соучастие сотрудников компании-оператора непросто». Представители Сбербанка и Тинькофф Банка не предоставили комментарии.,Сим-карта на доверии,Т-Банк,0,gpt-4.1,0,0.8,ok
ml_000060,"Конфликт вокруг ""Уралкалия"". Хроника событий nВТБnготов кредитовать покупкуnакций ""Уралкалия"" только при наличии готовых договоренностей о сделке, которых пока нет, и может поддержать только претендентов, у кого есть несколько миллиардов долларов. Об этом сообщил президент ВТБ Андрей Костин. n2 октябряnПосол России в Белоруссии Александр Суриков сказал, что рассчитывает, что генеральные прокуратуры двух странnнайдут решениеnпо делу гендиректора ""Уралкалия"" Владислава Баумгертнера. n4 октябряnИз уголовного дела, возбужденного в отношении генерального директора ""Уралкалия""nвыделены 19 томов материаловn, сообщил отдел информации и связи с общественностью Следственного комитета Белоруссии. n7 октябряnГенеральная прокуратура Белоруссииnнаправила в Россию материалы уголовного делаnв отношении должностных лиц ""Белорусской калийной компании"", сообщили в генпрокуратуре Белоруссии. n10 октябряnАдвокаты генерального директора ""Уралкалия"" Владислава Баумгертнераnобжаловали примененную к нему меру пресеченияnв виде домашнего ареста. n11 октябряnГлаве ""Уралкалия"" Владиславу Баумгертнеруnпереквалифицировали статью обвиненияnсо злоупотребления властью и служебными полномочиями на хищение, сообщил президент Белоруссии Александр Лукашенко. По его словам Баумгертенру и другим топ-менеджерам ""Уралкалия""nгрозит пожизненное заключениеn.","Конфликт вокруг ""Уралкалия"". Хроника событий",ВТБ,0,gpt-4.1,1,0.7,ok
ml_000061,"Лилия Агаркова о Неделе предпринимательства: все это похоже на пионерский лагерь Представители региональных хостелов сидели в первом ряду и ловили каждое слово отельеров культурной столицы. Остается добавить, что судя по логотипам первого листа из пачки программы, заплатили за все это удовольствие правительство Петербурга, Минэкономразвития, Центр оказания услуг «Мой бизнес», Банк Санкт-Петербург, и еще несколько спонсоров. Проведение такого мероприятия специалисты оценивают от 5-7 млн рублей.",Лилия Агаркова о Неделе предпринимательства: все это похоже на пионерский лагерь,Банк Санкт-Петербург,0,gpt-4.1,0,0.98,ok
ml_000063,"Найди тезку в Газпромбанке – Ну, почти... да. В «Староневском», выслушав претензии и обратившись к компьютеру, операционист рассказала историю: якобы клиентка ещё три года назад собственноручно написала в Газпромбанк заявление с просьбой отныне все причитающиеся ей дивиденды по акциям компании перечислять на дополнительную банковскую карту, открытую на её имя, но привязанную к зарплатному счету некоего Евгения, проживающего в городе Арзамасе Нижегородской области. Данные сего мужчины банк предоставил, причем оказалось, что он оказался однофамильцем Натальи.",Найди тезку в Газпромбанке,Газпромбанк,0,gpt-4.1,0,0.85,ok
