sample_id,event_group_id,split,text_fragment,title,entity_norm,found_risk_keywords,source,published_year,published_month,alert_flag,risk_type_4cls
ml_000011,eg_000011,train,"Вирус-вымогатель пока не атаковал ресурсы большинства российских госорганов nЦентр мониторинга и реагирования на компьютерные атаки в кредитно-финансовой сфере Банка России (ФинЦЕРТ) фиксировал массовые рассылки банкам вредоносного ПО, однако случаев компрометации информационных ресурсов российских кредитных организации в результате атаки вируса пока не было. Сбербанк 12 мая зафиксировал попытки атаки на инфраструктуру банка, однако проникновения в систему не произошло. nРостех также оказался не затронут атакой.",Вирус-вымогатель пока не атаковал ресурсы большинства российских госорганов,Сбербанк,хакеры,ods_tass,2017,5,0,no_risk
ml_000012,eg_000012,train,"Сбербанк смягчил антикризисные требования к заемщикам Сбербанк отменил ограничения на выдачу кредитов физическим лицам, введенные в 2008 году из-за финансового кризиса. Об этом пишет ""Коммерсант"".",Сбербанк смягчил антикризисные требования к заемщикам,Сбербанк,ограничения,lenta,2009,10,0,no_risk
ml_000013,eg_000013,train,"Банк ""Россия"" взял на обслуживание военнослужащих Черноморского флота Банк «Россия», подпавший под санкции США, взял на обслуживание военнослужащих Черноморского флота (ЧФ), сообщили в кредитной организации. До этого военнослужащие ЧФ обслуживались в «ВТБ Украина», который больше не работает в Крыму и Севастополе из-за угрозы санкций со стороны Нацбанка Украины. В одном из севастопольских отделений АБ «Россия» подтвердили, что служащие Черноморского флота обязательно должны будут получать зарплату на карточки именно этого банка.","Банк ""Россия"" взял на обслуживание военнослужащих Черноморского флота",ВТБ,не работает,buriy,2014,8,1,regulatory_risk
ml_000014,eg_000014,valid,"Банкоматы Сбербанка возобновили прием тысячерублевок Банкоматы Сбербанка возобновили прием тысячерублевок Распечатать Сбербанк устранил сбой в работе банкоматов и платежных терминалов. ""Был зафиксирован инцидент: в Москве устройства обслуживания не принимали купюры номиналом 1 тыс. руб.",Банкоматы Сбербанка возобновили прием тысячерублевок,Сбербанк,сбой,buriy,2015,7,1,operational_risk
ml_000015,eg_000015,train,"Система денежных переводов ЦБ оказалась опасной для россиян Как отмечает издание, это может быть связано с деятельностью мошенников, которые проверяют наличие счета абонента в банке. На данный момент к системе подключены 12 банков: ВТБ, «Тинькофф», Промсвязьбанк, Росбанк, СКБ-банк, Газпромбанк, Альфа-банк, «Ак Барс», Райффайзенбанк, платежный сервис QIWI, Совкомбанк и РНКО «Платежный центр» — оператор платежной системы «Золотая корона». В ближайшее время к нему намерены также подключить «Открытие», «Юникредит», «Русский стандарт» и Газэнергобанк.",Система денежных переводов ЦБ оказалась опасной для россиян,Промсвязьбанк,мошенники,lenta,2019,4,0,no_risk
ml_000016,eg_000016,train,"Российские банки запустят идентификацию клиентов по селфи Российские банки собираются внедрить идентификацию клиентов по селфи. Об этом во вторник, 25 июля, сообщают «Известия» со ссылкой на представителей Сбербанка, ВТБ 24, СМП-банка и Росбанка. Бинбанк, Ситибанк и «Ак Барс» также рассматривают возможность запуска подобной системы.",Российские банки запустят идентификацию клиентов по селфи,ВТБ,мошенники,lenta,2017,7,0,no_risk
ml_000017,eg_000017,train,"Коллектора взяли за e-mail Внешнее наблюдение было введено в ноябре того же года, внешнее управление – в феврале 2012 года. С этого времени ряд банков, среди которых «ВЭБ», «ВТБ» и «Сбербанк», пытаются получить возмещение по ранее выданным кредитам. На пути у них, по словам Бегуна, стоит «Центральное коллекторское агентство», возглавляемое Носовичем.",Коллектора взяли за e-mail,ВТБ,взлом,buriy,2015,5,0,no_risk
ml_000018,eg_000018,valid,"Сын миллиардера, который помог Ельцину выиграть выборы, вспомнил, как заработал первые деньги. ВИДЕО Я пошел с сумкой в школу, расфасовывал бутылки по шкафчикам в раздевалке, записывал для каждого код, и продавал непосредственно коды», — заключил юноша. Александр Фридман — прямой наследник своего отца, миллиардера Михаила Фридмана, которому принадлежит «Альфа банк». Также миллиардер помог выиграть выборы 1996 года Борису Ельцину.","Сын миллиардера, который помог Ельцину выиграть выборы, вспомнил, как заработал первые деньги. ВИДЕО",Альфа-Банк,,telegram_contest,2019,11,0,no_risk
ml_000019,eg_000019,train,"Банк «Российский капитал» начал распродавать квартиры СУ-155 Компания-застройщик СУ-155 допустила технический дефолт по оферте на облигации в марте 2015 года. ВТБ, «Российский капитал», Росбанк, Сбербанк, «Глобэкс», «ГВСУ центр» и другие кредиторы подали иски о банкротстве. Суммарные долги СУ-155 оцениваются в 39 миллиардов рублей, 17 из них компания должна банкам, оставшаяся сумма — долговые обязательства перед подрядчиками и за аренду земли, а также средства, необходимые для завершения строительства жилья.",Банк «Российский капитал» начал распродавать квартиры СУ-155,Росбанк,,lenta,2016,12,0,no_risk
ml_000020,eg_000020,train,"Дорогое удовольствие: как Давос переживет колебания рубля и франка У ВЭФа 120 «стратегических партнеров», которые, таким образом, платят ему 60 млн франков (более $68 млн) ежегодно. В их числе и российские компании: Сбербанк, ВТБ, VimpelCom, ЛУКОЙЛ, USM Holdings Алишера Усманова, «Базовый элемент». Еще около 500 компаний указаны на сайте ВЭФа в качестве «отраслевых партнеров», их взносы поменьше – 250 тыс. франков ($285 тыс.), но меньше и привилегий.",Дорогое удовольствие: как Давос переживет колебания рубля и франка,ВТБ,недоступно,buriy,2015,1,0,no_risk
ml_000021,eg_000021,train,"Полиция поймала обманывавших банкоматы фальшивомонетчиков В Сбербанке пояснили, что заменяют программное обеспечение, нужное для защиты от фальшивых банкнот номиналом в пять тысяч рублей. Сообщалось также, что временно отключен прием таких купюр в банкоматах «ВТБ 24» и «Ситибанка». В начале текущего года в ЦБ заявляли, что в конце 2012 года пятитысячные банкноты стали самыми подделываемыми в России.",Полиция поймала обманывавших банкоматы фальшивомонетчиков,ВТБ,злоумышленники,lenta,2013,10,1,operational_risk
ml_000022,eg_000022,train,"В Днепре радикалы заблокировали отделение ""дочки"" Сбербанка Радикалы блокировали входы в финучреждения цепями, замуровывали двери строительными блоками, обливали краской витрины, призывая граждан забирать из банков деньги. Под давлением националистов президент Петр Порошенко 16 марта ввел в действие санкции в отношении пяти банков с российским капиталом (Сбербанк, Проминвестбанк, ВТБ, БМ Банк и VS Bank) сроком на год. После этого радикалы приостановили акцию, чтобы, как они заявили, дать время украинцам забрать свои средства.","В Днепре радикалы заблокировали отделение ""дочки"" Сбербанка",ВТБ,санкции,ods_tass,2017,4,0,no_risk
ml_000023,eg_000023,train,"Почему БК «Зенит» проиграл борьбу за Еврокубок Речь, конечно же, идет опять о «Химках». Так уж получилось, что «Зениту» сначала пришлось встретиться с ними в первом матче 1/8 финала Еврокубка в Петербурге, затем отправиться в Подмосковье, там сыграть с ними уже в Единой лиге ВТБ (а важность этого турнира тоже никто не отменял), и потом все там же и все с тем же соперником провести уже ответную игру Еврокубка. Три сверхважных матча фактически со вторым по силе клубом России после ЦСКА выбьют из колеи любого.",Почему БК «Зенит» проиграл борьбу за Еврокубок,ВТБ,не работает,taiga_fontanka,2015,3,0,no_risk
ml_000024,eg_000024,train,"Валютная переоценка съедает деньги Ru» стало известно о подобных пересчетах и в других банках, в частности в Райффайзенбанке. «При любой моей покупке Райффайзенбанк блокирует сумму на карте почти на неделю и списывает ее уже по какому-то иному курсу. В Грузии я снимала по карте с рублевого счета в местном банкомате баксы.",Валютная переоценка съедает деньги,Райффайзенбанк,мошенничество,buriy,2014,12,0,no_risk
ml_000025,eg_000025,train,"Под новые санкции Японии попали Сбербанк, ВТБ и Газпромбанк Правительство Японии ввело ограничения на операции с ценными бумагами Сбербанка, Внешэкономбанка, ВТБ, Газпромбанка и Россельхозбанка. Список финансовых учреждений, которые попали под новые санкции в отношении России в связи с ситуацией в Украине, распространил МИД Японии, передает Прайм.","Под новые санкции Японии попали Сбербанк, ВТБ и Газпромбанк",Сбербанк,санкции; ограничения,buriy,2014,9,1,regulatory_risk
ml_000026,eg_000026,train,"Альфа-банк подал иск о признании «Трансаэро» банкротом Дату подачи иска в Альфа-банке не уточняют. Сегодня стало известно, что в минувшую пятницу Сбербанк подал иск в арбитражный суд Санкт-Петербурга и Ленинградской области о признании банкротом авиакомпании «Трансаэро», ранее писала «Русская Планета».",Альфа-банк подал иск о признании «Трансаэро» банкротом,Сбербанк,иск; суд,buriy,2015,10,0,no_risk
ml_000027,eg_000027,valid,"Кризис увеличил объем просроченных кредитов в России Издание отмечает, что у ряда банков просрочка выросла более чем на 10 процентов. Так, у ВТБ 24, ""дочки"" госбанка ВТБ, ""плохие"" долги достигли 2,4 миллиарда рублей, увеличившись на 10,3 процента, у Бинбанка - превысили миллиард рублей и выросли на 14 процентов, у ДжиИ Мани банка - увеличились до 1,4 миллиарда рублей (рост - 9,8 процента). Стоит отметить, что статистика по всем банкам за октябрь пока недоступна - она будет опубликована Центробанком России в конце ноября.",Кризис увеличил объем просроченных кредитов в России,ВТБ,недоступна,lenta,2008,11,0,no_risk
ml_000028,eg_000028,test,"Эксперты: технический дефолт по бондам ""Трансаэро"" может наступить 29 октября Среди основных кредиторов назывались Сбербанк, ВТБ, ВЭБ, Газпромбанк и другие. Альфа-банк подал 16 сентября иск в арбитражный суд о взыскании с ""Трансаэро"" более $11,3 млн (около 735 млн рублей). Также банк ""ФК Открытие"" подал иск в арбитраж к авиакомпании на 1,3 млрд рублей.","Эксперты: технический дефолт по бондам ""Трансаэро"" может наступить 29 октября",Альфа-Банк,иск; суд,buriy,2015,10,0,no_risk
ml_000029,eg_000029,valid,"Минфин захотел активнее брать в долг у россиян Об этом пишет принадлежащая семье Демьяна Кудрявцева газета «Ведомости». Для этого ведомство собирается задействовать банки-агенты по продаже бумаг: Сбербанк, ВТБ, Промсвязьбанк и Почта банк. Кроме обычной рекламы на телевидении, радио и в интернете Минфин собирается использовать социальные сети.",Минфин захотел активнее брать в долг у россиян,Промсвязьбанк,,lenta,2019,5,0,no_risk
ml_000030,eg_000022,train,"В Днепре радикалы заблокировали отделение ""дочки"" Сбербанка Радикалы блокировали входы в финучреждения цепями, замуровывали двери строительными блоками, обливали краской витрины, призывая граждан забирать из банков деньги. Под давлением националистов президент Петр Порошенко 16 марта ввел в действие санкции в отношении пяти банков с российским капиталом (Сбербанк, Проминвестбанк, ВТБ, БМ Банк и VS Bank) сроком на год. После этого радикалы приостановили акцию, чтобы, как они заявили, дать время украинцам забрать свои средства.","В Днепре радикалы заблокировали отделение ""дочки"" Сбербанка",Сбербанк,санкции,ods_tass,2017,4,1,regulatory_risk
ml_000031,eg_000030,train,"Из ВТБ уволился второй топ-менеджер за неделю Заместитель председателя правления второго по величине российского банка ВТБ Юлия Чупина покинула свой пост ""в связи с обстоятельствами личного характера"". Об этом сообщает агентство ""Интерфакс"".",Из ВТБ уволился второй топ-менеджер за неделю,ВТБ,не работает,lenta,2009,7,0,no_risk
ml_000032,eg_000031,valid,"""Альфа-банк"" реструктуризировал долги ""ЮТэйр"" ""Альфа-банк"" реструктуризировал долги ""ЮТэйр"" Распечатать Авиакомпания ""ЮТэйр"" и ""Альфа-банк"" договорились о реструктуризации задолженности авиакомпании перед банком и ""Альфа-лизингом"", банк продлит сроки финансирования авиакомпании, сообщает ""ЮТэйр"". ""В результате достигнутых договоренностей предусматривается отзыв всех исков, поданных АО ""Альфа-банк"" и ООО ""Альфа-Лизинг"" в отношении компаний группы ""ЮТэйр"" по кредитным договорам, договорам об открытии аккредитивов и лизинговым договорам, а также снятие арестов со счетов и имущества компаний группы ""ЮТэйр"", - подчеркивает ""ЮТэйр"".","""Альфа-банк"" реструктуризировал долги ""ЮТэйр""",Альфа-Банк,,buriy,2015,5,0,no_risk
ml_000033,eg_000032,valid,"Банк «Таврический» попал в идеальный шторм Сегодня в банковской среде Петербурга говорят о необходимости слияний, чтобы устоять. В противном случае крушения продолжатся, что вызовет экспансию федеральных игроков, таких как «Открытие» и Альфа-Банк. Хотя отношения среди городских банкиров за 20 прошедших лет настоялись, ведь, например, председатель правления Балтинвестбанка Игорь Кирилловых учился в Военмехе с председателем правления «Таврического» Сомовым.",Банк «Таврический» попал в идеальный шторм,Альфа-Банк,клиентская база,buriy,2015,1,0,no_risk
ml_000034,eg_000033,train,"Ходорковский призвал Запад пересмотреть санкции против России Часть из них обвинили в эскалации кризиса на Украине, часть – подпали под санкции, потому что якобы составляют «ближний круг» президента России Владимира Путина. Под санкции подпали Сбербанк, ВТБ, Газпромбанк, Россельхозбанк, Банк Москвы, Российский национальный коммерческий банк, Объединенная судостроительная корпорация и лоукостер «Добролет». В ответ на санкции Путин ввел запрет на ввоз в Россию отдельных видов сельскохозяйственной продукции, сырья и продовольствия из присоединившихся к санкциям стран.",Ходорковский призвал Запад пересмотреть санкции против России,Газпромбанк,сбой,buriy,2015,1,0,no_risk
ml_000035,eg_000034,valid,"ЦБ впервые назвал десятку системно значимых банков Фото: Екатерина Кузьмина/РБК К банкам, оказывающим особое влияние на всю систему, регулятор, согласно сообщению его пресс-службы от 15 июля 2015 года, причислил Сбербанк, ВТБ, Россельхозбанк, Газпромбанк, ЮниКредит Банк, Райффайзенбанк, Росбанк, Альфа-банк, ФК «Открытие» и Промсвязьбанк. Это крупнейшие банки по размеру активов.",ЦБ впервые назвал десятку системно значимых банков,Райффайзенбанк,регулятор,buriy,2015,7,0,no_risk
ml_000036,eg_000035,train,"Клиенты Сбербанка столкнулись с проблемами при проведении онлайн-платежей «Банк столкнулся с технической проблемой, сейчас идет временный отказ от проведения операций по банковским картам, не проходят операции в личном кабинете «Сбербанк-онлайн», в банкоматах и терминалах, и осуществление платежей в интернете», — рассказал в пятницу РБК сотрудник call-центра Сбербанка. В 18:40 мск Сбербанк сообщил, что устранил сбой. Все системы Сбербанка в настоящий момент работают в штатном режиме, сообщалось в Twitter пресс-центра банка.",Клиенты Сбербанка столкнулись с проблемами при проведении онлайн-платежей,Сбербанк,сбой,buriy,2015,11,1,operational_risk
ml_000037,eg_000036,valid,"Арестованы активы второго офшора донецкого губернатора Сергея Таруты Также Тарута в течение двух недель обязан раскрыть всю информацию о своих активах по всему миру, стоимость которых превышает 50 тысяч долларов. Основанием для этих решений стал иск банка ВТБ. Это не первый подобный случай: 22 мая суд Кипра арестовал имущество донецкого губернатора.",Арестованы активы второго офшора донецкого губернатора Сергея Таруты,ВТБ,иск; суд,lenta,2014,6,0,no_risk
ml_000038,eg_000037,train,"Ночной сбой В конце марта некоторые банки предупреждали своих клиентов о возможных сбоях, связанных с переводом платежного трафика на НСПК. Так, Райффайзенбанк распространил сообщение, в котором попросил клиентов «отнестись с пониманием к глобальным для большинства российских банков изменениям и возможным неудобствам, вызванным техническими работами». О возможных сбоях своих клиентов предупредил и ЮниКредит Банк, он разместил на своем сайте сообщение, в котором говорилось, что «переход на новую платформу может вызвать временные трудности, связанные с обработкой операций по пластиковым картам».",Ночной сбой,Райффайзенбанк,сбой,buriy,2015,4,1,operational_risk
ml_000039,eg_000038,train,"Мнение: Кремль хватается за каждый клин, который он может вбить в хрупкую коалицию США и ЕС «Роснефть», кажется, подражает Ирану, наняв адвокатскую компанию, чтобы оспорить санкции ЕС в суде. В сентябре «Газпромбанк» нанял двух бывших американских сенаторов для ведения лоббистской деятельности против санкций от лица банка. Согласно заявлению о раскрытии информации, предъявленному в сенате, банк нанял Трента Лотта и Джона Бро, которые сейчас работают на крупную лоббистскую компанию Squire Patton Boggs в Вашингтоне.","Мнение: Кремль хватается за каждый клин, который он может вбить в хрупкую коалицию США и ЕС",Газпромбанк,санкции,buriy,2014,10,0,no_risk
ml_000040,eg_000039,train,"Банкоматы Альфа-Банка установлены на станциях Санкт-Петербургского метрополитена Уверен, что жители и гости Санкт-Петербурга по достоинству оценят удобство работы с Альфа-Банком без дополнительных временных затрат на дорогу к отделению банка или к ближайшему банкомату», — говорит начальник управления по развитию систем самообслуживания Альфа-Банка Максим Дарёшин. На сегодняшний день у Альфа-Банка общая объединенная банкоматная сеть с действующими партнёрами, а это: Промсвязьбанк, МДМ Банк, Росбанк, УБРиР, Россельхозбанк, МОСКОВСКИЙ КРЕДИТНЫЙ БАНК, Газпромбанк и БИНБАНК насчитывает более 24,7 тысяч устройств, расположенных более чем в 2,8 тыс. населённых пунктов России. А с МДМ Банком, УБРиР, МОСКОВСКИМ КРЕДИТНЫМ БАНКОМ (только для физических лиц) и с БИНБАНКОМ Альфа-Банк сотрудничает ещё и на внесение наличных.",Банкоматы Альфа-Банка установлены на станциях Санкт-Петербургского метрополитена,Россельхозбанк,,taiga_fontanka,2016,8,0,no_risk
ml_000041,eg_000026,train,"Альфа-банк подал иск о признании «Трансаэро» банкротом Вслед за Сбербанком, Альфа-банк так же подал иск о признании банкротом авиакомпанию ""Трансаэро"". Об этом сообщает ""Интерфакс"" со ссылкой на пресс-службу кредитной организации.",Альфа-банк подал иск о признании «Трансаэро» банкротом,Альфа-Банк,иск,buriy,2015,10,0,no_risk
ml_000042,eg_000040,test,"Крупные банки за месяц потеряли почти 10% вкладов Статистика по всей банковской системе пока недоступна - ее опубликует ЦБ только в конце ноября. В таких крупных частных банках как ""Альфа-банк"", ""Возрождение"", ""Юникредитбанк"" и ""Райффайзенбанк"" объемы вкладов уменьшились приблизительно на 13 процентов. Так, из ""Райффайзенбанка"" вкладчики унесли 13,6 миллиарда рублей, а из ""Альфа-банка"" - 9,6 миллиарда рублей, передает Lenta.",Крупные банки за месяц потеряли почти 10% вкладов,Райффайзенбанк,недоступна,taiga_fontanka,2008,11,0,no_risk
ml_000043,eg_000041,train,"Со счетов россиян пытались похитить миллиарды рублей Крупнейшие банки России в первой половине 2019 года предотвратили хищения со счетов своих клиентов на общую сумму примерно 24 миллиарда рублей, пишут «Известия» со ссылкой на данные кредитных организаций. Издание опросило пять банков, входящих в число крупнейших в стране: Сбербанк, ВТБ, Альфа-банк, «Почта банк» и Московский кредитный банк. Представители кредитных организаций отмечают, что активность злоумышленников растет, даже несмотря на принятый в прошлом году закон о защите от мошенничества.",Со счетов россиян пытались похитить миллиарды рублей,Почта Банк,злоумышленники,lenta,2019,7,0,no_risk
